기관명,기관구분,주소,홈페이지
수서삼성정신건강의학과의원,의원,"서울특별시 강남구 밤고개로1길 10 201호 (수서동, 수서현대벤쳐빌)",
수성구보건소,보건소,대구광역시 수성구 수성로 213 ,
수성베네스트,정신재활시설,대구광역시 수성구 수성로 285,www.benest.or.kr
수성중동병원,병원,"대구광역시 수성구 수성로 268 1층 102호, 2층~8층 (중동)",
수앤미정신건강의학과의원,의원,울산광역시 남구 수암로 108 2층 (신정동),
수영구보건소,보건소,부산광역시 수영구 수영로 637-5 ,
수원성심정신건강의학과의원,의원,경기도 수원시 영통구 중부대로 308 (매탄동),
수원시 권선구보건소,보건소,경기도 수원시 권선구 호매실로 22-50 ,
수원시 영통구보건소,보건소,경기도 수원시 영통구 영통로 396 ,
수원시 장안구보건소,보건소,경기도 수원시 장안구 송원로 101 ,
수원시 팔달구보건소,보건소,경기도 수원시 팔달구 팔달산로 6 ,
수원시성인정신건강복지센터,기초정신건강복지센터,경기도 수원시 팔달구 매산로 89 2층 ,www.suwonmental.org
수원시자살예방센터,자살예방센터,경기도 수원시 팔달구 동말로 47번길 17,
수원신경정신과의원,의원,경기도 수원시 팔달구 정조로 777 (팔달로3가),
수원우노병원,병원,경기도 수원시 권선구 장다리로 94 (권선동),
수원중앙병원,병원,경기도 수원시 권선구 권선로 654 (권선동),
수인복지재단,중독관리통합지원센터,대구광역시 동구 아양로 246-1(3층),www.alcohol21.net
수정신건강의학과의원,의원,"서울특별시 중구 동호로 180 2층 203호 (신당동, 동양빌딩)",
수지연세정신과의원,의원,"경기도 용인시 수지구 풍덕천로 122 5층 503-3호 (풍덕천동, 하나로프라자)",
순창군보건의료원,보건소,전라북도 순창군 순창읍 교성로 135,
순천시 정신건강복지센터,기초정신건강복지센터,전라남도 순천시 중앙로 232 순천시보건소 3층,
순천시보건소,보건소,전라남도 순천시 중앙로 232 ,
순천정신건강의학과의원,의원,전라남도 순천시 중앙로 119-1 (중앙동),
순천향대학교 부속 구미병원,종합병원,경상북도 구미시 1공단로 179 (공단동),
순천향대학교 부속 서울병원,종합병원,서울특별시 용산구 대사관로 59 (한남동),
순천향대학교부속 부천병원,기초정신건강복지센터,경기도 부천시 성오로 172 오정어울마당 3층,www.bucheonlove.co.kr
순천향대학교부속 천안병원,상급종합병원,"충청남도 천안시 동남구 순천향6길 31 5동 (봉명동,순천향대학교병원)",
순천향대학교부속부천병원,상급종합병원,경기도 부천시 조마루로 170 (중동),
숭인사회복귀시설,정신재활시설,경상남도 양산시 모래들1길 91,www.soongin.net
숭인정신건강의학과의원,의원,부산광역시 동래구 중앙대로 1325 이센타워 10층 1001호 (온천동),
쉐어하우스,정신재활시설,경기도 부천시 소사로126번길 59-7 2층,cafe.naver.com/shareh3312
쉼정신건강의학과의원,의원,"서울특별시 강동구 천호대로 1116 2층 207,028호 (성내동, 라이저강동빌딩)",
쉼터공동체,정신재활시설,대전광역시 유성구 세동로474-35,shimter8269.or.kr
쉼플러스정신건강의학과의원,의원,서울특별시 강남구 학동로 215 씨엘타워 602호층 (논현동),
스롤라인,정신재활시설,서울특별시 용산구 백범로 90길 이레빌딩 1층,www.srolanh.or.kr
스마일빌,정신요양시설,전라북도 남원시 대면대곡 신계길397,www.smilevill.or.kr
스마트정신건강의학과의원,의원,"세종특별자치시 절재로 194 504호 (어진동, 세종드림)",
슬하정신건강의학과의원,의원,제주특별자치도 제주시 노형8길 2 4층 (노형동),
승우정신요양원,정신요양시설,경기도 오산시 가장산업동로 69-9,www.sw1988.kr
시온정신건강의학과의원,의원,경상남도 거창군 거창읍 중앙로 163-4 4층 (중앙수입코너),
시울 정신건강의학과의원,의원,"제주특별자치도 서귀포시 일주동로 8675 (서귀동, 한라클리닉)",
시일건강타운,정신요양시설,전라남도 장성군 북하면 백양로 445,www.siil.or.kr
시흥시보건소,보건소,경기도 시흥시 호현로 55,
시흥시자살예방센터,자살예방센터,경기도 시흥시 호현로 55 ,
시흥정신건강의학과의원,의원,경기도 시흥시 비둘기공원로 8 시흥메디칼 801호 (대야동),
신 경성 정신건강의학과의원,의원,부산광역시 수영구 수영로 577 3층 (광안동),
신가병원,종합병원,광주광역시 광산구 목련로 316 (신가동),
신광철정신건강의학과의원,의원,인천광역시 미추홀구 인하로 275 (주안동),
신남정신건강의학과의원,의원,대구광역시 중구 달성로 1 6층 (대신동),
신대구정신건강의학과의원,의원,대구광역시 달서구 달구벌대로 1660 3층 (감삼동),
신림정신건강의학과의원,의원,"서울특별시 관악구 신림로 366 (신림동, 7층)",http://www.sillimclinic.co.kr/
신림평온정신건강의학과의원,의원,서울특별시 관악구 남부순환로 1619-1 4층 (신림동),https://sillimpeaceful.modoo.at/
신명기정신건강의학과의원,의원,"경기도 의정부시 시민로 83 404호 (의정부동, 광장타워)",
신상은정신건강의학과의원,의원,"경기도 성남시 분당구 성남대로926번길 6 6층 602호 (야탑동, 대덕프라자)",
신생원,정신요양시설,대전광역시 유성구 진잠옛로 135번길 115,www.villageoflove.co.kr
신석호정신과의원,의원,"서울특별시 강남구 개포로 615 201-1호, 308호 (개포동)",
신세계병원,병원,전라북도 김제시 금산면 구성5길 84-15 (),
신세계정신건강의학과의원,의원,광주광역시 서구 죽봉대로 86 3층 (농성동),
신세계정신건강의학과의원,의원,"부산광역시 수영구 수영로 710-1 10층 (광안동, 프라임메디칼빌딩)",
신세계효병원,기초정신건강복지센터,전라북도 부안군 부안읍 오리정로 124,www.bmhc.or.kr
신세광의료재단 세광병원,기초정신건강복지센터,울산광역시 울주군 서향교1길 67-122층,www.ujcmhc.or.kr
신안군보건소,보건소,전라남도 신안군 압해읍 천사로 1004 ,
신유호정신건강의학과의원,의원,"경기도 성남시 분당구 분당로53번길 9 301호 (서현동, 에이원프라자)",
신재경정신건강의학과의원,의원,"서울특별시 마포구 양화로 156 3층 315호 (동교동, LG팰리스빌딩)",
신지용정신건강의학과의원,의원,"경기도 성남시 분당구 성남대로916번길 7 301호 (야탑동, 서일빌딩)",
신창사랑병원,병원,광주광역시 광산구 풍영정길 147 (신창동),
신한대학교,기초정신건강복지센터,경기도 동두천시 중앙로 167,www.cmhc.or.kr
신혜힐링타운,정신요양시설,전라남도 해남군 해남읍 중앙1로 391,www.jncsw.org/shinhyewon
신홍식신경정신과의원,의원,"대구광역시 수성구 지범로 188 402호 (범물동, 청구리빙월드)",
실버힐스병원,병원,"경기도 남양주시 경춘로 1260 (평내동, 하나프라자 5층)",
심경장원,정신요양시설,대전광역시 유성구 진잠옛로 222-170,www.skjw.co.kr
심연정신건강의학과의원,의원,제주특별자치도 제주시 중앙로 570 2층 (아라일동),
심온정신건강의학과의원,의원,"서울특별시 강남구 압구정로 212 302호 (신사동, 방우빌딩 302호)",
심우정신건강의학과의원,의원,인천광역시 부평구 길주로 633 삼산메디캐슬 302호 (삼산동),
심우정신건강의학과의원,의원,대구광역시 중구 중앙대로 392 동성빌딩 3층 (동성로3가),
심일정신건강의학과의원,의원,"경기도 안산시 단원구 원포공원1로 35 303,304호 (초지동)",
심정신건강의학과의원,의원,서울특별시 강서구 마곡중앙6로 66 퀸즈파크텐 2층 204호 (마곡동),
심주철정신건강의학과의원,의원,"부산광역시 부산진구 가야대로 785 (부전동, 인제메디컬센터 1301호)",
아가페하우스,정신재활시설,"광주광역시 북구 양지택지로 37번길 30, 가람하이빌 401~404호",www.gjw.or.kr/agape
아람메디컬병원,병원,"충청남도 아산시 온천대로1740번길 9 3,4층 (풍기동,아람빌딩)",
아람터,정신재활시설,"경기도 수원시 장안구 광교산로 138번길34, 8동 201호",
아로정신건강의학과의원,의원,서울특별시 서초구 서초대로 317 건원빌딩 3층 (서초동),
아름다운교회 사랑의집,정신재활시설,서울특별시 강북구 도봉로 71가길 27(수유동),www.sarangzip.or.kr
아름다운세상,정신재활시설,서울특별시 구로구 고척로 52라길 11-23,www.beautifulworld.kti114.net
아름다운세상,정신재활시설,"경기도 시흥시 군자로 466번길 37, 거모종합사회복지관 내 2층",cafe.daum.net/BWORLD
아름다운세상,정신재활시설,전라북도 전주시 덕진구 아중7길 9-5,http://www.sharemind.co.kr
아름다운정신과의원,의원,경기도 수원시 팔달구 정조로801번길 3 (팔달로2가),
아름다운집,정신재활시설,전라북도 전주시 덕진구 인교9길11 아중지1 401호,
아름드리,정신재활시설,"서울특별시 양천구 남부순환로 59길 16-1, 201호",http://caf?.daum.net/아름드리주거시설
아름드리,정신재활시설,대전광역시 중구 대흥로 87(대흥동),ardr1140.or.kr
아름드리정신건강의학과의원,의원,인천광역시 서구 완정로 172 406호 (마전동),
아름정신건강의학과의원,의원,"경기도 부천시 소사로 748 502호 (원종동, 성연빌딩)",
아린정신건강의학과의원,의원,"서울특별시 성북구 도봉로 3 대양직업전문학교,현대스위스저축은행빌딩 4층 401호 (길음동)",
아미정신건강센터,정신재활시설,부산광역시 서구 아미로12번길 25,www.happymental.net
아산시 정신건강복지센터,기초정신건강복지센터,충청남도 아산시 번영로 224번길 20,
아산시 중독관리통합지원센터,중독관리통합지원센터,충청남도 아산시 번영로 224번길 20,www.asan.go.kr/health
아산시보건소,보건소,충청남도 아산시 번영로 224번길 20 ,
아산장애인 직업재활센터,정신재활시설,충청남도 아산시 번영로 169번길 13-1,
아이공감정신건강의학과의원,의원,"부산광역시 해운대구 해운대로 369 7층 (우동, 해운대센텀메디칼센타)",
아이나래정신건강의학과의원,의원,광주광역시 남구 서문대로 704 2층 (진월동),
아이나래정신건강의학과의원,의원,"서울특별시 송파구 올림픽로 378 (방이동, 4층)",
아이나래정신건강의학과의원,의원,충청북도 청주시 흥덕구 대농로 66 3층 301호 (복대동),
아이나래정신건강의학과의원,의원,"전라북도 전주시 완산구 백제대로 427 (서신동, 타타대우쌍용자동차)",
아이누리&박 정신건강의학과의원,의원,부산광역시 연제구 고분로 2 3층 (연산동),
아이마음정신건강의학과의원,의원,충청남도 아산시 배방읍 고속철대로 63 (배방읍),
아이맘정신건강의학과의원,의원,"서울특별시 노원구 노해로 482 3층 (상계동, 덕영빌딩)",
아이사랑정신건강의학과의원,의원,광주광역시 동구 제봉로 52 (남동),
아이행복정신과의원,의원,"대구광역시 수성구 달구벌대로 2491 5층 (범어동, 세기빌딩)",
아주다남병원,병원,"경기도 수원시 장안구 정자천로 187 (정자동, 롯데프라자 4층)",
아주대학교병원,상급종합병원,경기도 수원시 영통구 월드컵로 164 (원천동),
아주대학교의료원,기초정신건강복지센터,"경기도 수원시 장안구 송원로101, 1층(조원동, 장안구청)",www.suwonmental.org
아주대학교의료원 ,기초정신건강복지센터,경기도 수원시 팔달구 동말로 47번길 17,www.suwonmental.org
아주대학교의료원,기초정신건강복지센터,경기도 수원시 영통구 영통로396 (영통구보건소) 4층,www.suwonmental.org
안강중앙병원,병원,경상북도 경주시 안강읍 안강중앙로 150-3 (안강읍),
안동병원,기초정신건강복지센터,경상북도 안동시 경동로 663 남부빌딩 2층,www.andongmind.com
안동성소병원,종합병원,경상북도 안동시 서동문로 99 (금곡동),
안동시보건소,보건소,경상북도 안동시 서동문로 165 ,
안두원정신과의원,의원,대전광역시 동구 계족로 174 5층 (대동),
안산시 단원구보건소,보건소,경기도 안산시 단원구 화랑로 250,
안산시 상록수보건소,보건소,경기도 안산시 상록구 차돌배기로1길 5 ,
안산시자살예방센터,자살예방센터,경기도 안산시 상록구 차돌배기로1길 5 상록수보건소 3층,www.assp.or.kr
안산신우병원,병원,"경기도 안산시 단원구 원포공원1로 19 원포빌딩 1, 5층 121,122,501호 (초지동)",
안산우리정신건강의학과의원,의원,"경기도 안산시 단원구 광덕4로 260 501~505호 (고잔동, 윈윈프라자)",
안산튼튼병원,병원,"경기도 안산시 상록구 도매시장로 4 (이동, 광덕빌딩)",
안성성모병원,종합병원,경기도 안성시 시장길 58 (서인동),
안성시보건소,보건소,경기도 안성시 강변로74번길 18 ,
안세정신과의원,의원,서울특별시 서대문구 신촌로 93 (창천동),
안양시 동안구보건소,보건소,경기도 안양시 동안구 평촌대로 253번길 41 ,
안양시 만안구보건소,보건소,경기도 안양시 만안구 문예로 48번지 ,
안양웰정신과의원,의원,경기도 안양시 만안구 병목안로 2 (안양동),
안윤영정신건강의학과의원,의원,충청북도 청주시 상당구 상당로 62 2층 (문화동),
안정신건강의학과의원,의원,"강원도 춘천시 금강로 68-2 (조양동,대원빌딩 4층)",
알에이치(RH)정신건강의학과의원,의원,"서울특별시 서초구 서초중앙로22길 25 2층 210호 (서초동, 서초리시온)",
알코올의존자 사회복귀시설 까리따스,정신재활시설,서울특별시 서초구 남부순환로 2124번지 까리따스 방배종합사회복지관 4층,www.cacc.or.kr
애플정신건강의학과의원,의원,"제주특별자치도 제주시 연북로 38 3층 (노형동, 연동타운)",
양구군보건소,보건소,강원도 양구군 양구읍 관공서로 42 ,
양산부산대학교병원,중독관리통합지원센터,"경상남도 양산시 중앙로 7-32, 4층(다방동, 양산시보건복지센터)",yscamc.org
양산부산대학교병원,국립,경상남도 양산시 물금읍 금오로 20,
양산부산대학교병원,상급종합병원,경상남도 양산시 물금읍 금오로 20 (),
양산숲정신건강의학과의원,의원,경상남도 양산시 물금읍 청운로 178 아르누보시티 3층 308호,
양산시보건소,보건소,경상남도 양산시 삽량로 169 ,
양양군보건소,보건소,강원도 양양군 양양읍 양양로 9-5 ,
양양군정신건강복지센터,기초정신건강복지센터,양양군 양양읍 양양로 9-5(양양군보건소2층),http://www.diddid0197.com/
양정신건강의학과의원,의원,경상남도 양산시 번영로 13 3층 (덕계동),
양정신건강의학과의원,의원,광주광역시 북구 동문대로 129 4층 (우산동),
양정신건강의학과의원,의원,경상남도 밀양시 북성로2길 15-9 (내이동),
양주소망병원,병원,경기도 양주시 평화로 1741-1741 (회정동),
양주숲정신건강의학과의원,의원,경기도 양주시 옥정로 196 파스텔시티 501호 (옥정동),
양주시보건소,보건소,경기도 양주시 부흥로 1533,
양창순정신건강의학과의원,의원,"서울특별시 중구 소공로 35 310호 (회현동1가, 롯데캐슬아이리스오피스존)",
양천구보건소,보건소,서울특별시 양천구 목동서로 339 ,
양천아이존,정신재활시설,서울특별시 양천구 화곡로 47,www.childfund.or.kr
양평군 정신건강복지센터,기초정신건강복지센터,경기도 양평군 양평읍 중앙로 111번길 34-21(3층),www.ypmental.or.kr
양평군보건소,보건소,경기도 양평군 양평읍 마유산로 17번지 ,
양평군자살예방센터,자살예방센터,경기도 양평군 양평읍 중앙로 111번길 34-21 3층,www.ypmental.or.kr
양평정신건강의학과의원,의원,경기도 양평군 양평읍 시민로 37 (),
어경선정신건강의학과의원,의원,대전광역시 서구 문정로 85 3층 (탄방동),
어깨동무,정신재활시설,"서울특별시 중랑구 동일로92길 39-2,1 2층",igonggam.net
어울림,정신재활시설,"서울특별시 중랑구 용마산로331-1 401, 402",www.igonggam.net
어울림,정신재활시설,"대전광역시 서구 도마로25번길 54, 201호(도마동)",blog.naver.com/h_people2006
어울림,정신재활시설,경상북도 경주시 석장1길 29-36.101호,http://blog.naver.com/oulim777
어울림2,정신재활시설,경상북도 경주시 석장1길 29-36.405호,http://blog.naver.com/oulim777
엄용섭정신건강의학과의원,의원,부산광역시 부산진구 가야대로 521 (가야동),
에버그린하우스,정신재활시설,서울특별시 은평구 갈현로 29길 51 예성베르빌B01호 ,egreenhouse.modoo.at
에스병원(S병원),병원,부산광역시 영도구 동삼로 55-1 (동삼동),
에스엠정신건강의학과의원,의원,대구광역시 달성군 유가읍 테크노상업로 120 테크노폴리스 M스퀘어+ 402호,
에스정신건강의학과의원,의원,서울특별시 금천구 시흥대로 399 시티렉스 201호 (독산동),
에이원정신건강의학과의원,의원,서울특별시 마포구 동교로 179 2층 (동교동),
에이치제이매그놀리아국제병원,병원,경기도 가평군 설악면 미사리로 267-177 (),
에이치플러스 양지병원,종합병원,서울특별시 관악구 남부순환로 1636 양지병원 (신림동),https://www.newyjh.com/main/index.htm
엘리엘리정신건강의학과의원,의원,인천광역시 미추홀구 숙골로 116 303호 엘리엘리정신건강의학과 (도화동),
엘림신경정신과의원,의원,서울특별시 성동구 왕십리로 294-2 2층 (행당동),
엘림정신건강의학과의원,의원,"전라북도 전주시 덕진구 기린대로 358 (금암동, 영진빌딩)",
엠마오사랑병원,병원,전라북도 전주시 완산구 서원로 402-35 (중화산동1가),
엠정신건강의학과의원,의원,전라남도 무안군 삼향읍 남악3로 74 4층 402호 (유풍프라자),
여서정신건강의학과의원,의원,전라남도 여수시 문수로 16-1 (문수동),
여수맑은정신건강의학과의원,의원,전라남도 여수시 망마로 39 4층 (학동),
여수시 정신건강복지센터,기초정신건강복지센터,전라남도 여수시 시청서4길 47(학동),www.yshealth.yeosu.go.kr
여수시 중독관리통합지원센터,중독관리통합지원센터,전라남도 여수시 시청서 4길 47,www.yshealth.yeosu.go.kr
여수시보건소,보건소,전라남도 여수시 시청서4길 47 ,
여수전남병원,종합병원,전라남도 여수시 좌수영로 49 (광무동),
여울목,정신재활시설,"서울특별시 강서구 화곡로 13길 66-28, 301호",caf?.daum.net/최현모
여의도삼성정신건강의학과의원,의원,"서울특별시 영등포구 여의대방로 383 208호 (여의도동, 경도빌딩)",
여의도쉼정신건강의학과의원,의원,"서울특별시 영등포구 의사당대로 127 203호 (여의도동, 롯데캐슬엠파이어)",
여의도힐정신건강의학과의원,의원,서울특별시 영등포구 여의나루로 42 여의도종합상가 510-가호 (여의도동),
여주대학교 산학협력단,기초정신건강복지센터,경기도 여주시 세종로 338번지 여주대학교 대학본부 2층,www.yeojumind.com
여주세민병원,병원,경기도 여주시 가남읍 경충대로 924 (),
여주순영병원,병원,경기도 여주시 가남읍 경충대로 924 (),
여주시보건소,보건소,경기도 여주시 여흥로160번길 14 ,
여주시자살예방센터,자살예방센터,경기도 여주시 세종로 338,www.yeojumind.com
여주정신건강의학과의원,의원,경기도 여주시 세종로 11 (홍문동),
여천전남병원,종합병원,전라남도 여수시 무선로 95 (선원동),
연세가산숲정신건강의학과의원,의원,서울특별시 금천구 가산디지털1로 171 가산 에스케이 브이원 센터 220호 (가산동),
연세공감정신건강의학과의원,의원,경기도 군포시 산본천로 56 센트로 601 오피스텔 4층 408호 (산본동),
연세광화문정신건강의학과의원,의원,"서울특별시 종로구 새문안로 103-1 3,5층 (신문로1가)",
연세나루정신건강의학과의원,의원,서울특별시 송파구 송파대로 404 우일빌딩 2층 (송파동),
연세누리정신건강의학과의원,의원,서울특별시 양천구 오목로 322 보성빌딩 5층 501호 (목동),
연세늘봄정신건강의학과의원,의원,"서울특별시 송파구 송파대로 422 (송파동, 영빌딩)",
연세다온정신건강의학과의원,의원,"경기도 부천시 경인로 520 (괴안동, 창성빌딩 5층일부)",
연세대학교 산학협력단,기초정신건강복지센터,강원도 평창군 평창읍 종부로61,
연세대학교 원주산학협력단,기초정신건강복지센터,강원도 원주시 원일로139 시민문화센터 4층,www.loveme.yonsei.kr
연세대학교 원주산학협력단,기초정신건강복지센터,강원도 횡성군 횡성읍 횡성로 379,www.hsg.go.kr
연세대학교 원주산학협력단,중독관리통합지원센터,강원도 원주시 원일로139,www.alja.or.kr
연세대학교 원주세브란스기독병원,상급종합병원,강원도 원주시 일산로 20 (일산동),
연세대학교의과대학 강남세브란스병원,상급종합병원,서울특별시 강남구 언주로 211 강남세브란스병원 (도곡동),
연세드림정신과의원,의원,"경기도 안산시 단원구 광덕대로 161 401~402호 (고잔동, 웅신아트프라자)",
연세라온정신과의원,의원,서울특별시 관악구 호암로 602 4층 (신림동),https://yonseiraon.modoo.at/
연세라이프정신건강의학과의원,의원,서울특별시 강남구 테헤란로 111 준경타워 4층 (역삼동),
연세랑정신건강의학과의원,의원,"부산광역시 해운대구 좌동순환로 506 304호 (중동, 영풍리젠시)",
연세로뎀정신건강의학과의원,의원,"서울특별시 마포구 서강로 142 3층,5층 (노고산동)",
연세리정신건강의학과의원,의원,"경기도 성남시 분당구 서현로 192 301호 (서현동, 야베스벨리)",
연세마곡숲정신건강의학과의원,의원,서울특별시 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 2층 238호 (마곡동),
연세마음숲정신건강의학과의원,의원,인천광역시 남동구 논고개로123번길 17 아이플렉스 205-1호 (논현동),
연세맑은정신건강의학과의원,의원,서울특별시 마포구 월드컵로 87 마포로얄프라자 3층 301호 (망원동),
연세맑음정신건강의학과의원,의원,서울특별시 강남구 선릉로62길 7 경산빌딩 4층 (대치동),
연세멘토정신건강의학과의원,의원,서울특별시 마포구 백범로 1 3층 (노고산동),
연세반디정신건강의학과의원,의원,"서울특별시 종로구 창경궁로 266 2층 (혜화동, 복지빌딩)",
연세밝은마음정신건강의학과의원,의원,경기도 성남시 중원구 산성대로 356 3층 (중앙동),
연세밝은마음정신건강의학과의원,의원,서울특별시 서대문구 통일로 451 5층 (홍제동),
연세밝은맘정신과의원,의원,서울특별시 서대문구 성산로 488 3층 (대신동),
연세봄정신건강의학과의원,의원,경기도 고양시 일산서구 중앙로 1568 301호 (대화동),
연세봄정신건강의학과의원,의원,서울특별시 은평구 통일로 857 (갈현동),
연세봄정신건강의학과의원,의원,서울특별시 구로구 시흥대로 551 광희빌딩 4층 (구로동),
연세삼성정신건강의학과의원,의원,서울특별시 강남구 테헤란로 514 삼흥2빌딩 12층 (대치동),
연세서울병원,병원,"경기도 안산시 상록구 선암로 40 (본오동, 드들요양병원)",
연세서울병원,병원,"경기도 고양시 일산동구 중앙로 1200 (마두동,5,6,7층)",
연세소울정신건강의학과의원,의원,경기도 수원시 장안구 대평로 80 208호 (정자동),
연세소울정신건강의학과의원,의원,"서울특별시 강서구 강서로 360 4층 401호 (내발산동, 솔레드림빌딩)",
연세소울정신건강의학과의원,의원,"서울특별시 송파구 올림픽로 108 (잠실동, 8층)",
연세소울정신건강의학과의원,의원,"서울특별시 노원구 동일로 1392 5층 (상계동, 한일빌딩)",
연세소울정신건강의학과의원,의원,서울특별시 서대문구 통일로 464 홍제빌딩 5층 5-1호 (홍제동),
연세소울정신건강의학과의원,의원,"부산광역시 해운대구 해운대로 794 504호 (좌동, 삼정엘리움)",
연세소울정신건강의학과의원,의원,"강원도 원주시 능라동길 3 (무실동, 5층 501호)",
연세소울정신건강의학과의원,의원,"경기도 성남시 분당구 황새울로342번길 23 5층 2-1호 (서현동, 기영프라자)",
연세손정신건강의학과의원,의원,"서울특별시 서초구 남부순환로 2614 310호 (양재동, 한솔로이젠트)",
연세솔정신건강의학과의원,의원,경기도 하남시 미사강변동로 127 경서타워 405호 (망월동),
연세숲정신건강의학과의원,의원,"서울특별시 은평구 진관2로 15-46 601호 (진관동, 메트로프라자)",
연세신경정신과의원,의원,"경기도 의정부시 시민로 80 407호 (의정부동, 센트럴타워)",
연세아이(i)정신건강의학과의원,의원,"부산광역시 연제구 중앙대로 1125 (연산동, 407호 일부)",
연세에덴정신건강의학과의원,의원,"경기도 성남시 분당구 돌마로 47 409호 (금곡동, 이코노샤르망)",
연세엘정신건강의학과의원,의원,서울특별시 서초구 사임당로 39 한성빌딩 4층 402호 (서초동),
연세예정신건강의학과의원,의원,"경기도 성남시 분당구 성남대로 168 307호 (금곡동, 미도프라자)",
연세웰 정신건강의학과 의원,의원,서울특별시 중구 남대문로9길 51 효덕빌딩 5층 511호 (을지로1가),
연세위드윤정신건강의학과의원,의원,경기도 파주시 미래로 369-13 한울프라자 303호 (동패동),
연세유앤김정신과의원,의원,경기도 안양시 동안구 관평로170번길 43 216호 (관양동),
연세유앤김정신과의원,의원,"서울특별시 강남구 테헤란로 528 6층 (대치동, 슈페리어타워)",
연세이룸정신건강의학과의원,의원,"경기도 고양시 일산동구 정발산로 47 (장항동, 웅신아트 304호)",
연세정담정신건강의학과의원,의원,"세종특별자치시 보듬4로 9 3층 5호의 1/2,6~9호호 (도담동, 도램마을11단지)",
연세정신건강의학과의원,의원,"경기도 성남시 수정구 수정로 106 206호 (수진동, SR프라자)",
연세정신건강의학과의원,의원,"서울특별시 서초구 서초대로 24 2층 (방배동, 새한빌딩)",
연세정신건강의학과의원,의원,"서울특별시 종로구 종로 335 5층 (창신동, 원풍빌딩)",
연세정신건강의학과의원,의원,서울특별시 구로구 디지털로32길 79 조영빌딩 3층 (구로동),
연세정신건강의학과의원,의원,"경기도 용인시 처인구 금령로 98 3층 (김량장동, 제일빌딩)",
연세정신건강의학과의원,의원,강원도 홍천군 홍천읍 번영로 4 2층,
연세정신건강의학과의원,의원,충청남도 당진시 당진중앙2로 88 (읍내동),
연세정신건강의학과의원,의원,"경기도 남양주시 별내중앙로 24 603일부호 (별내동, 이레타워)",
연세정신건강의학과의원,의원,인천광역시 계양구 경명대로 1088 3층 (계산동),
연세정신과의원,의원,부산광역시 영도구 태종로 103-1 (대교동2가),
연세정정신건강의학과의원,의원,경기도 성남시 분당구 서현로321번길 10 3층 (서현동),
연세조은정신건강의학과의원,의원,충청남도 천안시 서북구 검은들3길 58 2층 (불당동),
연세준정신건강의학과의원,의원,"인천광역시 남동구 논고개로 81 501호 (논현동, 우리들메디타워)",
연세진정신건강의학과의원,의원,"서울특별시 마포구 만리재로 15 2층 203호 (공덕동, 제일빌딩)",
연세채움정신건강의학과의원,의원,서울특별시 강남구 테헤란로 339 8층 (역삼동),
연세최의겸정신과의원,의원,"경기도 고양시 일산동구 중앙로1275번길 38-10 220호 (장항동, 우림로데오스위트)",
연세푸른정신건강의학과의원,의원,"경기도 성남시 분당구 야탑로81번길 10 302호 (야탑동, 아미고타워)",
연세필정신건강의학과의원,의원,서울특별시 강동구 천호대로 1015 8층 (천호동),
연세필정신건강의학과의원,의원,서울특별시 강남구 강남대로 598 2층 (논현동),
연세필정신건강의학과의원,의원,서울특별시 마포구 신촌로 174 2층 (대흥동),
연세필정신건강의학과의원,의원,"서울특별시 종로구 종로 19 413-2호, 414-1호 (종로1가, 르메이에르종로타운)",
연세필정신과의원,의원,"서울특별시 관악구 남부순환로 2056 2층 (남현동, 태림빌딩)",http://www.feelclinic.co.kr/sub/index.php
연세필정신과의원,의원,"서울특별시 양천구 신정중앙로 103 701호 (신정동, 담우빌딩)",
연세하나정신건강의학과의원,의원,경기도 고양시 덕양구 삼송로 12 반도유스퀘어 407호 (원흥동),
연세해피마인드정신건강의학과의원,의원,"경기도 성남시 분당구 서현로 204 309호 (서현동, 엘지에클라트2차)",
연세햇살정신건강의학과의원,의원,"서울특별시 관악구 신림로 318 6층 (신림동, 청암두산위브센티움)",http://yonseisunny.com/
연세훈정신건강의학과의원,의원,"서울특별시 관악구 관악로 195 301호 (봉천동, 관악위버폴리스)",http://happyhoon.com/main/index.html
연세휴정신건강의학과의원,의원,"서울특별시 서초구 강남대로 375 505호 (서초동, 서초현대타워아파트)",
연세휴정신건강의학과의원,의원,"서울특별시 강남구 도곡로 409 503호 (대치동, 타워엠프리스)",
연세힐정신건강의학과의원,의원,서울특별시 노원구 한글비석로 270 스카이타워 2층층 202호 (중계동),
연수구보건소,보건소,인천광역시 연수구 함박뫼로 13 ,
연수새누리,정신재활시설,"인천광역시 연수구 앵고개로 183, 남동부수도사업소 2층",www.yssanuri.com
연정신경정신과의원,의원,서울특별시 강남구 테헤란로4길 46 1층 118호 (역삼동),
연제구보건소,보건소,부산광역시 연제구 연제로 2,
연천군 보건의료원,보건소,경기도 연천군 전곡읍 은대성로 95 ,
열경의료재단동부허병원,병원,대구광역시 동구 화랑로 81-81 (효목동),
열린마음정신건강의학과의원,의원,경기도 시흥시 배곧3로 96 M-플러스 4층 407(일부)호 (정왕동),
열린마음정신건강의학과의원,의원,서울특별시 광진구 능동로 259 성운빌딩 4층 (군자동),
열린마음정신건강의학과의원,의원,"경상남도 창원시 성산구 원이대로 652 (상남동, 롯데빌딩)",
열린마음정신과의원,의원,경상북도 구미시 구미중앙로 85 (원평동),
